"iso3c","emis","pop","pcapemis"
"WLD",46287620.0335007,7742681934,6
"AND",629.999995231628,76343,8.3
"ARE",243550.003051758,9211657,26.4
"AFG",28639.9993896484,37769499,0.8
"ATG",1220.00002861023,92117,13.2
"ALB",9010.00022888184,2854191,3.2
"ARM",9960.00003814697,2820602,3.5
"AGO",79680.0003051758,32353588,2.5
"ARG",369049.987792969,44938712,8.2
"AUT",76919.9981689453,8879920,8.7
"AUS",585979.98046875,25340217,23.1
"AZE",54799.9992370605,10024283,5.5
"BIH",26229.9995422363,3360711,7.8
"BRB",3789.99996185303,280180,13.5
"BGD",215940.002441406,165516222,1.3
"BEL",108059.997558594,11488980,9.4
"BFA",32209.9990844727,20951639,1.5
"BGR",51279.9987792969,6975761,7.4
"BHR",54409.9998474121,1494188,36.4
"BDI",4559.99994277954,11874838,0.4
"BEN",15020.0004577637,12290444,1.2
"BRN",9300.00019073486,438048,21.2
"BOL",60790.0009155273,11777315,5.2
"BRA",1057260.00976563,211782878,5
"BHS",3160.00008583069,404557,7.8
"BTN",1679.99994754791,767459,2.2
"BWA",11000,2499702,4.4
"BLR",86830.0018310547,9419758,9.2
"BLZ",1549.99995231628,389095,4
"CAN",736929.992675781,37601230,19.6
"COD",55000,89906890,0.6
"CAF",19729.9995422363,5209324,3.8
"COG",19200.0007629395,5570733,3.4
"CHE",46500,8575280,5.4
"CIV",24860.0006103516,26147551,1
"CHL",113019.996643066,19039485,5.9
"CMR",90120.002746582,25782341,3.5
"CHN",12705089.84375,1407745000,9
"COL",187339.996337891,50187406,3.7
"CRI",15750,5084532,3.1
"CUB",41240.0016784668,11316697,3.6
"CPV",810.000002384186,577030,1.4
"CYP",8539.99996185303,1228836,6.9
"DEU",749710.021972656,83092962,9
"DJI",1379.99999523163,1073994,1.3
"DNK",43200.0007629395,5814422,7.4
"DMA",230.000004172325,71428,3.2
"DOM",41319.9996948242,10881882,3.8
"DZA",282010.009765625,42705368,6.6
"ECU",72529.9987792969,17343740,4.2
"EST",12869.9998855591,1326898,9.7
"EGY",351769.989013672,105618671,3.3
"ERI",6329.99992370605,3498818,1.8
"ESP",306950.012207031,47134837,6.5
"ETH",150960.006713867,114120594,1.3
"FIN",51479.9995422363,5521606,9.3
"FJI",2380.00011444092,918465,2.6
"FSM",259.999990463257,111379,2.3
"FRA",414040.008544922,67388001,6.1
"GAB",13170.0000762939,2242785,5.9
"GBR",440079.986572266,66836327,6.6
"GRD",2390.00010490417,122724,19.5
"GEO",17600.0003814697,3720161,4.7
"GHA",37650.0015258789,31522290,1.2
"GMB",2339.99991416931,2508883,0.9
"GIN",28329.9999237061,12877539,2.2
"GNQ",11409.9998474121,1553031,7.3
"GRC",78500,10721582,7.3
"GTM",35099.9984741211,16604026,2.1
"GNB",2579.99992370605,1970457,1.3
"GUY",5679.99982833862,798753,7.1
"HND",22389.9993896484,9958829,2.2
"HRV",22260.0002288818,4065253,5.5
"HTI",10500,11160438,0.9
"HUN",60590.0001525879,9771141,6.2
"IDN",1002369.99511719,269582878,3.7
"IRL",61479.9995422363,4934340,12.5
"ISR",87180.0003051758,9054000,9.6
"IND",3394870.1171875,1383112050,2.5
"IRQ",320820.007324219,41563520,7.7
"IRN",893719.970703125,86564202,10.3
"ISL",2849.99990463257,360563,7.9
"ITA",389000,59729081,6.5
"JAM",9970.00026702881,2813773,3.5
"JOR",36569.9996948242,10698683,3.4
"JPN",1166510.00976563,126633000,9.2
"KEN",81010.0021362305,50951450,1.6
"KGZ",16909.9998474121,6456200,2.6
"KHM",40060.001373291,16207746,2.5
"KIR",119.999997317791,124241,1
"COM",639.999985694885,790986,0.8
"KNA",349.999994039536,47712,7.3
"PRK",79339.9963378906,25755441,3.1
"KOR",698460.021972656,51764822,13.5
"KWT",136690.002441406,4441100,30.8
"KAZ",274670.013427734,18513673,14.8
"LAO",29280.0006866455,7212053,4.1
"LBN",35209.9990844727,5781907,6.1
"LCA",879.999995231628,178583,4.9
"LIE",159.999996423721,38482,4.2
"LKA",35990.0016784668,21803000,1.7
"LBR",2220.00002861023,4985289,0.4
"LSO",2529.99997138977,2225702,1.1
"LTU",18930.0003051758,2794137,6.8
"LUX",10479.9995422363,620001,16.9
"LVA",11699.9998092651,1913822,6.1
"LBY",126690.002441406,6569088,19.3
"MAR",93080.0018310547,36304408,2.6
"MDA",13390.0003433228,2664224,5
"MNE",3829.99992370605,622028,6.2
"MDG",29579.9999237061,27533134,1.1
"MHL",230.000004172325,44728,5.1
"MKD",11250,2076694,5.4
"MLI",44150.0015258789,20567424,2.1
"MMR",133250,53040212,2.5
"MNG",56049.9992370605,3232430,17.3
"MRT",14289.999961853,4383849,3.3
"MLT",2140.00010490417,504062,4.2
"MUS",6849.99990463257,1265711,5.4
"MDV",2599.99990463257,504508,5.2
"MWI",10949.9998092651,18867337,0.6
"MEX",653869.995117188,125085311,5.2
"MYS",313019.989013672,32804020,9.5
"MOZ",35400.0015258789,30285595,1.2
"NAM",10659.9998474121,2446644,4.4
"NER",42720.0012207031,23443393,1.8
"NGA",308179.992675781,203304492,1.5
"NIC",18799.9992370605,6663924,2.8
"NLD",172229.995727539,17344874,9.9
"NOR",45900.0015258789,5347896,8.6
"NPL",44220.0012207031,28832496,1.5
"NRU",70.0000002980232,12132,5.8
"NZL",83199.9969482422,4979200,16.7
"OMN",100260.00213623,4602768,21.8
"PAN",20879.9991607666,4232532,4.9
"PER",100730.003356934,32824861,3.1
"PNG",22409.9998474121,9542486,2.3
"PHL",234279.998779297,110380804,2.1
"PAK",432500,223293280,1.9
"POL",353140.014648438,37965475,9.3
"PRT",61380.0010681152,10286263,6
"PLW",289.99999165535,17916,16.2
"PRY",49549.9992370605,6530026,7.6
"QAT",114760.00213623,2807235,40.9
"ROU",101239.99786377,19371648,5.2
"SRB",61930.0003051758,6945235,8.9
"RUS",2476840.08789063,144406261,17.2
"RWA",5340.00015258789,12835028,0.4
"SAU",723150.024414063,35827362,20.2
"SLB",939.999997615814,674993,1.4
"SYC",779.999971389771,97625,8
"SDN",106059.997558594,43232093,2.5
"SWE",46189.998626709,10278887,4.5
"SGP",67230.0033569336,5703569,11.8
"SVN",16459.9990844727,2088385,7.9
"SVK",38060.001373291,5454147,7
"SLE",6079.99992370605,8046828,0.8
"SEN",29229.9995422363,16000781,1.8
"SOM",25149.9996185303,15981300,1.6
"SUR",4460.00003814697,600301,7.4
"SSD",50909.9998474121,10447666,4.9
"STP",180.000007152557,214599,0.8
"SLV",12819.9996948242,6280217,2
"SYR",48479.9995422363,20098251,2.4
"SWZ",2789.99996185303,1169613,2.4
"TCD",81650.0015258789,16126866,5.1
"TGO",7889.9998664856,8243094,1
"THA",422089.996337891,71307763,5.9
"TJK",17510.0002288818,9337003,1.9
"TLS",5909.99984741211,1280438,4.6
"TKM",157330.001831055,6158420,25.5
"TUN",41590.0001525879,12049314,3.5
"TON",310.000002384186,104951,3
"TTO",28340.0001525879,1519955,18.6
"TUV",29.9999993294477,10956,2.7
"TZA",84000,59872579,1.4
"UKR",233259.994506836,44386203,5.3
"UGA",43290.0009155273,42949080,1
"USA",6001209.9609375,328329953,18.3
"URY",36119.9989318848,3428409,10.5
"UZB",188759.994506836,33580350,5.6
"VCT",340.000003576279,104924,3.2
"VEN",255740.005493164,28971683,8.8
"VNM",450149.993896484,95776716,4.7
"VUT",870.000004768372,304404,2.9
"WSM",680.000007152557,211905,3.2
"YEM",25260.0002288818,31546691,0.8
"ZAF",555429.992675781,58087055,9.6
"ZMB",37569.9996948242,18380477,2
"ZWE",30530.0006866455,15354608,2
